index,Name,latval,lonval,destination,phone,address,price,keywords,rating,category
0,Aguada Fort,15.4926458,73.7732011,sinquerim,,,,Aguada Fort Sinquerim North Goa,Rating 4.2,Tourist Spot
1,Orzan Beach,15.5937,73.7345,Vagator,,,,Vagator Beach North Goa,Rating 4.5,Beach
2,Chapora Fort,15.606,73.7363,Chapora,,,,Chapora Fort North Goa ,Rating 4.5,Tourist Spot
3,Candolim Beach ,15.5128,73.7689,Candolim,,,,Candolim Beach North Goa,Rating 4.4,Beach
4,Calangute Beach,15.5494,73.7535,Calangute,,,,Calangute Beach North Goa,Rating 4.4,Beach
5,Baga Beach,15.5553,73.7517,Baga,,,,Baga Beach North Goa,Rating 4.6,Beach
6,Chapora Beach,15.6063,73.7402,Chapora,,,,Chapora Beach North Goa ,Rating 4.2,Beach
7,Vagator Beach,15.603,73.7336,Vagator,,,,Vagator Beach North Goa,Rating 4.4,Beach
8,Miramar Beach,,,Miramar,,,,Miramar Beach North Goa,Rating 4.2,Beach
9,Coco Beach,15.4988,73.786,Nerul,,,,Nerul Beach North Goa,Rating 4,Beach
10,Anjuna Beach,15.5733,73.741,Anjuna,,,,Anjuna Beach North Goa,Rating 4.4,Beach
11,Explore Watersports Goa,15.5996745,73.753075,Vagator,9148576301,"Petrol pump, A-004,Raj exotic Palms, near Vagator Goa",,Vagator Beach watersports North Goa,Rating 4.8,Watersports
12,Shantadurga Temple ,15.5130349,73.7698114,Candolim,,,,Candolim Beach North Goa,Rating 4.5,Beach
13,St. Francis Xavier's Church ,15.500765,73.91929,Old  Goa,,,,"Old Goa Road ,Velha Goa",Rating 4.6,Church
14,Sinquerim Beach,15.4991,73.7675,sinquerim,,,,Sinquerim Beach North Goa,Rating 4.5,Beach
15,Chapora Guest House,,,Chapora,,,,Chapora Guest House North Goa,Rating 4.1,Guest House
